motifName	meanDeviationZgrp1_kidney	meanDeviationZgrp2_liver	zDiff	pvalue	padj	negLog10padj	cRank	cRank_rerank
MA0859.1_Rarg	1.15918681279194	-1.04989549346592	2.20908230625786	0.000663084457989373	0.00105764711067726	2.97565921268871	389	353
MA0860.1_Rarg(var.2)	0.927786424633991	-0.780267894381042	1.70805431901503	0.0117111950181617	0.0140972596996167	1.85086529961387	481	462
MA0525.2_TP63	2.29052013975396	-1.99105822076319	4.28157836051715	4.48689308062347e-05	0.00011755253817561	3.92976798922078	228	169
MA0106.3_TP53	-0.511107729755267	0.463241036008235	-0.974348765763502	0.0993322790362939	0.108107875116568	0.966142668719238	532	523
MA0861.1_TP73	1.43934021283558	-1.24962367279788	2.68896388563346	0.000177991135092532	0.000351907594946044	3.45357136002595	347	306
MA0862.1_GMEB2	0.58639768837763	-0.505886455246468	1.0922841436241	0.00018071834332924	0.000354698036568238	3.45014121555946	502	486
MA0863.1_MTF1	1.78004132523013	-1.79082301012761	3.57086433535774	0.000337149091658956	0.000604363232416518	3.21870196465785	323	279
MA0024.3_E2F1	-0.0174161525334582	0.187629131855824	-0.205045284389282	0.414912981231167	0.42975781061332	0.366776221504342	565	564
MA0864.1_E2F2	0.140985658878971	-0.089825737537498	0.230811396416469	0.0447334819937293	0.0501951280511032	1.29933843351637	562	559
MA0865.1_E2F8	2.74787099497801	-2.58622076854877	5.33409176352678	1.38309426939233e-06	1.12790363658895e-05	4.94772800308794	159	107
MA0866.1_SOX21	1.46255097221384	-1.41244738532162	2.87499835753546	5.15337193473968e-05	0.000128612170267857	3.89071793319959	330	284
MA0867.1_SOX4	2.36368387386868	-2.43571218355854	4.79939605742722	3.54808912756388e-06	2.07509455036312e-05	4.68296211014926	195	140
MA0868.1_SOX8	0.795414206429492	-0.750002141625191	1.54541634805468	0.00351853262696294	0.00461957004764522	2.33539844319374	466	443
MA0869.1_Sox11	2.67624558465891	-2.69897525959539	5.37522084425429	1.81072331710122e-06	1.32709974759697e-05	4.87709643342577	155	102
MA0870.1_Sox1	1.72713394650435	-1.62652629564187	3.35366024214622	0.000708527681554555	0.00112702617478046	2.94806599750251	364	322
MA0871.1_TFEC	2.47159091381146	-2.61280230593486	5.08439321974632	2.63084744833773e-05	7.81159319275665e-05	4.10726038171051	195	140
MA0872.1_TFAP2A(var.3)	0.163124492455468	-0.24181790401389	0.404942396469358	0.0699106228447358	0.0766633534604205	1.11541218746228	550	543
MA0028.2_ELK1	0.641150138445918	-0.612440102165592	1.25359024061151	0.002623851657161	0.00355786910889044	2.44881003329882	495	477
MA0873.1_HOXD12	3.58888485719391	-3.32542473158223	6.91430958877614	0.00118087152051486	0.00176673025937495	2.75282975259138	387	349
MA0874.1_Arx	3.79155607271959	-3.40915382112054	7.20070989384013	2.05169325945324e-08	2.53666280433087e-06	5.59573725920759	69	31
MA0875.1_BARX1	3.79656900272407	-3.72228850716216	7.51885750988624	5.56475204325414e-07	6.63132279651631e-06	5.17839983118409	58	22
MA0876.1_BSX	2.65901901158824	-2.37955501013536	5.0385740217236	8.51952383543423e-06	3.49844276646555e-05	4.45612522662865	175	120
MA0877.1_Barhl1	3.02405486575247	-3.05343224536784	6.07748711112031	3.89865264419234e-06	2.19460464805255e-05	4.65864370532337	120	69
MA0878.1_CDX1	2.76814836164656	-2.57801812249803	5.34616648414458	8.96682451938491e-06	3.61262166677446e-05	4.44217751771111	157	106
MA0879.1_Dlx1	3.77882173296618	-3.67083301963022	7.44965475259639	1.10513021885061e-06	9.27348401035509e-06	5.03275707252149	69	31
MA0880.1_Dlx3	1.30515146180281	-1.19864352429608	2.50379498609889	2.58270627428087e-05	7.70818006602384e-05	4.11304814861348	356	316
MA0881.1_Dlx4	1.55652328387759	-1.43581292956641	2.992336213444	2.70962076132988e-05	7.96380924269035e-05	4.09887915118596	316	269
MA0882.1_DLX6	1.67075417345431	-1.54692562116146	3.21767979461577	2.78825674028966e-05	8.11256609360661e-05	4.09084175195161	302	256
MA0883.1_Dmbx1	2.30745634990608	-2.31644799729326	4.62390434719933	7.78562333426751e-05	0.000178176913460114	3.74914856857306	253	198
MA0884.1_DUXA	2.10498215239409	-1.84510243416905	3.95008458656314	2.03402772822744e-05	6.45652792280094e-05	4.19000096642327	259	204
MA0885.1_Dlx2	2.08751650726828	-2.2421367313724	4.32965323864068	0.000567273304292364	0.00094382541145195	3.02510833393862	348	307
MA0886.1_EMX2	3.43529709082025	-3.25305081430366	6.68834790512392	1.00006795609388e-06	9.10025067055717e-06	5.04094664467447	93	51
MA0887.1_EVX1	2.80526168084998	-2.8684149253922	5.67367660624218	6.1221585492722e-06	2.90551622953164e-05	4.5367766943514	144	87
MA0888.1_EVX2	3.45133720794598	-3.3503463606588	6.80168356860477	5.61200029411571e-07	6.63132279651631e-06	5.17839983118409	85	45
MA0889.1_GBX1	3.91267111513783	-3.49490170017094	7.40757281530876	3.79676139355149e-08	2.53666280433087e-06	5.59573725920759	62	23
MA0890.1_GBX2	4.38371031799703	-4.1882488139812	8.57195913197823	3.1033743406264e-07	4.60731729031458e-06	5.33655187832951	39	16
MA0891.1_GSC2	1.45820378531794	-1.55702892431683	3.01523270963477	8.30993381429204e-05	0.000189427231436027	3.72255758809783	314	266
MA0892.1_GSX1	2.86416963959083	-2.61504051204931	5.47921015164014	1.34608361501057e-05	4.901776182963e-05	4.30964652268885	159	107
MA0893.1_GSX2	3.89477643860976	-3.52282650236775	7.41760294097751	5.59734301374225e-05	0.000137909004466245	3.86040737659186	235	176
MA0894.1_HESX1	4.61619416084311	-4.39200367473696	9.00819783558006	1.32549159320376e-08	2.53666280433087e-06	5.59573725920759	19	4
MA0895.1_HMBOX1	1.62804818130301	-1.54644885586317	3.17449703716618	2.6652924781261e-05	7.87349155528068e-05	4.1038326339788	307	261
MA0896.1_Hmx1	1.67643627457252	-1.72126158201013	3.39769785658265	0.000382958757448216	0.00066988858175987	3.17399742468829	331	286
MA0897.1_Hmx2	2.07738395468102	-2.01635165048261	4.09373560516363	0.0001228587233134	0.000256805779055808	3.59039520730175	277	228
